rosbagTimestamp,data
1551189616381214626,98.0
1551189616381909303,98.0
1551189616382604659,98.0
1551189616383308590,98.0
1551189616384056888,77.0
1551189616384741611,77.0
1551189616395104141,77.0
1551189616395822635,77.0
1551189616397617796,108.0
1551189616403194133,118.0
1551189616403912445,118.0
1551189616404655930,118.0
1551189616406995340,6.0
1551189616409983523,128.0
1551189616410676781,128.0
1551189616412364993,131.0
1551189616413105371,77.0
1551189616418107480,2.0
1551189616423301368,5.0
1551189616423977685,5.0
1551189616424637563,5.0
1551189616426205277,146.0
1551189616426860765,146.0
1551189616432389318,77.0
1551189616433331396,77.0
1551189616435712899,77.0
1551189616436702752,77.0
1551189616440289809,77.0
1551189616441280371,77.0
1551189616442236687,77.0
1551189616443196824,77.0
1551189616444174958,77.0
1551189616445126732,77.0
1551189616448729187,77.0
1551189616452649284,77.0
1551189616454939421,77.0
1551189616455893529,77.0
1551189616456873480,77.0
1551189616459531776,77.0
1551189616460515392,77.0
1551189616461537118,77.0
1551189616462507912,77.0
1551189616463546842,77.0
1551189616465823293,77.0
1551189616466832208,77.0
1551189616472156303,77.0
1551189616473123926,77.0
1551189616475604557,77.0
1551189616476565076,77.0
1551189616479191713,77.0
1551189616480170551,77.0
1551189616481179171,77.0
1551189616482160146,77.0
1551189616483180912,77.0
1551189616484176290,77.0
1551189616486369920,77.0
1551189616487313382,77.0
1551189616489692198,77.0
1551189616495052261,77.0
1551189616496006096,77.0
1551189616497107989,77.0
1551189616499631265,77.0
1551189616500627691,77.0
1551189616501625540,77.0
1551189616502569964,77.0
1551189616503583394,77.0
1551189616504595019,77.0
1551189616509000990,77.0
1551189616514604625,77.0
1551189616515671366,77.0
1551189616516739018,77.0
1551189616519287656,77.0
1551189616520436595,77.0
1551189616529932481,77.0
1551189616530991403,77.0
1551189616540583350,77.0
1551189616541625570,77.0
1551189616542544753,77.0
1551189616543629699,77.0
1551189616544332950,1.0
1551189616561855378,0.0
1551189616563663613,0.0
1551189616577030316,0.0
