rosbagTimestamp,data
1553088642266550619,168.0
1553088642267372637,168.0
1553088642268176341,168.0
1553088642268965236,168.0
1553088642275289300,0.0
1553088642281444138,0.0
1553088642282181022,0.0
1553088642283066830,0.0
1553088642283654430,0.0
1553088642284391033,0.0
1553088642286598198,188.0
1553088642287397394,188.0
1553088642289307144,0.0
1553088642295602292,0.0
1553088642301667801,0.0
1553088642302346842,0.0
1553088642303267861,0.0
1553088642304020198,0.0
1553088642304856917,0.0
1553088642306912352,208.0
1553088642307669051,208.0
1553088642321293925,214.0
1553088642324720160,221.0
1553088642326833759,228.0
1553088642327639576,228.0
1553088642328363698,228.0
1553088642330446936,232.0
1553088642331257529,232.0
1553088642334067575,0.0
1553088642334773530,0.0
1553088642337006325,238.0
1553088642337733293,238.0
1553088642339531515,241.0
1553088642341480738,0.0
1553088642343454201,0.0
1553088642345141668,0.0
1553088642350136107,215.0
1553088642350928833,215.0
1553088642354758880,0.0
1553088642356884749,2.0
1553088642357665510,2.0
1553088642359626500,5.0
1553088642361564828,0.0
1553088642363412841,0.0
1553088642367742074,0.0
1553088642371453316,16.0
1553088642374282251,0.0
1553088642381095317,25.0
1553088642383186763,0.0
1553088642385021591,0.0
1553088642389513870,0.0
1553088642398424517,0.0
1553088642402719791,0.0
1553088642404564662,0.0
1553088642408822056,0.0
1553088642415265913,0.0
1553088642421969556,0.0
1553088642423956375,0.0
1553088642428386036,0.0
1553088642434932781,0.0
1553088642462189574,0.0
1553088642464135341,0.0
1553088642468678052,0.0
1553088642475313184,0.0
1553088642482104251,0.0
1553088642484053591,0.0
1553088642488576406,0.0
1553088642495233879,0.0
1553088642501963282,0.0
1553088642503919627,0.0
1553088642508378535,0.0
1553088642514733096,0.0
1553088642521419440,0.0
1553088642523374830,0.0
1553088642527761799,0.0
1553088642534224330,0.0
1553088642541107206,0.0
1553088642543142005,0.0
1553088642544965636,0.0
1553088642549425815,0.0
1553088642558362668,0.0
1553088642562496190,0.0
1553088642564347033,0.0
1553088642579221289,0.0
1553088642602537624,0.0
1553088642604465908,0.0
1553088642609060986,0.0
1553088642617990057,0.0
1553088642622189817,0.0
1553088642624256114,0.0
1553088642628642144,0.0
1553088642637682598,0.0
1553088642642018425,0.0
1553088642643858818,0.0
1553088642648470041,0.0
1553088642659572513,0.0
1553088642663749774,0.0
1553088642668455649,0.0
1553088642674981422,0.0
1553088642681844080,0.0
1553088642683718973,0.0
1553088642688123934,0.0
1553088642694534143,0.0
1553088642721406002,0.0
1553088642723216397,0.0
1553088642727590436,0.0
1553088642734092555,0.0
1553088642740722296,0.0
1553088642742606200,0.0
1553088642746974934,0.0
1553088642760382821,0.0
1553088642762329252,0.0
1553088642764227315,0.0
1553088642768807057,0.0
1553088642777742808,0.0
1553088642781910645,0.0
1553088642783861392,0.0
1553088642788335338,0.0
1553088642797590462,0.0
1553088642801896565,0.0
1553088642803841906,0.0
1553088642808266549,0.0
1553088642817309102,0.0
1553088642821508708,0.0
1553088642823405653,0.0
1553088642848241020,0.0
1553088642857154016,0.0
1553088642861565491,0.0
1553088642863337652,0.0
1553088642867845435,0.0
1553088642874564697,0.0
1553088642881211691,0.0
1553088642883211566,0.0
1553088642887735539,0.0
1553088642894376265,0.0
1553088642900936847,0.0
1553088642902883898,0.0
1553088642907531914,0.0
1553088642913854042,0.0
1553088642920608196,0.0
1553088642922498548,0.0
1553088642927019087,0.0
1553088642933355267,0.0
1553088642940153233,0.0
1553088642942033617,0.0
1553088642946489382,0.0
1553088642953157782,0.0
1553088642984330154,0.0
1553088642993499954,0.0
1553088643000180020,0.0
1553088643002121415,0.0
1553088643006585426,0.0
1553088643015246938,0.0
1553088643021925722,0.0
1553088643026381107,0.0
1553088643032772603,0.0
1553088643039417980,0.0
1553088643043664433,0.0
1553088643048222246,0.0
1553088643059722295,0.0
1553088643061486225,0.0
1553088643063290960,0.0
1553088643067573709,0.0
1553088643076673287,0.0
1553088643080882772,0.0
1553088643082938665,0.0
1553088643121761866,0.0
1553088643123636021,0.0
1553088643128238792,0.0
1553088643136985670,0.0
1553088643140987331,0.0
1553088643142920213,0.0
1553088643147430583,0.0
1553088643153770386,0.0
1553088643160483635,0.0
1553088643162393128,0.0
1553088643168712431,0.0
1553088643180117874,0.0
1553088643181985078,0.0
1553088643186469316,0.0
1553088643193147811,0.0
1553088643199972771,0.0
1553088643201869215,0.0
1553088643206328090,0.0
1553088643212871072,0.0
1553088643228056613,0.0
1553088643242181980,0.0
1553088643246723084,0.0
1553088643253393320,0.0
1553088643260247474,0.0
1553088643262296154,0.0
1553088643266881573,0.0
1553088643273373279,0.0
1553088643279966789,0.0
1553088643281912235,0.0
1553088643286307632,0.0
1553088643292737444,0.0
1553088643299418435,0.0
1553088643301358828,0.0
