rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw,front_x,front_y,front_z,back_x,back_y,back_z,left_x,left_y,left_z,right_x,right_y,right_z
[nsec],[meter],[meter],[meter],[rad],[rad],[rad],[mm],[mm],[mm],[mm],[mm],[mm],[pixel],[meter],[meter],[meter],[radian],[radian],[radian],[meter],[meter],[meter],[meter],[meter],[meter],[meter],[meter],[meter],[meter],[meter]
since ros start,world coord.,world coord.,world coord.,world coord.,world coord.,world coord.,LC,LC,LC,LC,LC,LC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC,WC
1.55283374090697E+018,-0.0010047191,3.49068614014E-05,0.0514174402,0.01128522,-0.0025122777,0.0003336203,1.484,1.429,3.866,2.667,0.529,0.042,-0.0492099784,-0.0002189503,5.07957447553E-05,0.0111966657,0.0065314523,0.0003166195,1.4837081853,0.0003869204,0.0538245314,-1.4296755908,-0.0004686511,0.0370449351,-0.0019328688,2.6668571801,0.0800987363,-7.47359491214E-05,-0.5291364932,0.0454098285
1.55283374092687E+018,-0.0009728398,4.63227770524E-05,0.0508195795,0.0113554952,-0.0018370812,0.0003392274,1.484,1.283,3.926,3.146,0.529,0.042,-0.0514174402,-0.0010047191,3.49068614014E-05,0.0112860582,0.0025122778,0.0003336192,1.4837081853,0.0003869204,0.0538245314,-1.2840005988,-0.0003931266,0.0481941913,-0.0021434138,3.1458343729,0.0869198767,-7.47359491214E-05,-0.5291364932,0.0454098285
1.55283374094698E+018,-0.0005763828,5.29446806468E-05,0.0502146445,0.011439313,-0.0040155411,0.000334727,1.484,1.283,3.926,3.146,0.549,0.042,-0.0508195795,-0.0009728398,4.63227770524E-05,0.0114406571,0.0040155413,0.0003347243,1.4837081853,0.0003869204,0.0538245314,-1.2840005988,-0.0003931266,0.0481941913,-0.0021434138,3.1458343729,0.0869198767,-0.0008060085,-0.5489300985,0.0452220054
1.55283374096668E+018,-0.0013403479,-0.0001460344,0.0500836149,0.0123554456,0.0006355645,0.0003364859,1.484,1.283,3.926,3.146,0.549,0.043,-0.0500836149,-0.0013403479,-0.0001460344,0.0123552318,-0.0006355645,0.0003364858,1.4837081853,0.0003869204,0.0538245314,-1.2840005988,-0.0003931266,0.0481941913,-0.0021434138,3.1458343729,0.0869198767,-0.0008060085,-0.5489300985,0.0452220054
1.55283374098676E+018,-0.0002517891,9.97238385025E-06,0.0508528277,0.0106607847,-0.0073440417,0.0003224501,1.484,1.283,3.926,3.146,0.549,0.045,-0.0500836149,-0.0013403479,-0.0001460344,0.0123552318,-0.0006355645,0.0003364858,1.4837081853,0.0003869204,0.0538245314,-1.2840005988,-0.0003931266,0.0481941913,-0.0021434138,3.1458343729,0.0869198767,-0.0008060085,-0.5489300985,0.0452220054
1.55283374100671E+018,-0.0007364833,5.90501258557E-05,0.0481023267,0.0110548909,-0.0020610561,0.0003396838,1.484,1.586,3.882,2.687,0.549,0.041,-0.0508528277,-0.0002517891,9.97238385025E-06,0.0106631528,0.0073440421,0.0003224414,1.4837081853,0.0003869204,0.0538245314,-1.2840005988,-0.0003931266,0.0481941913,-0.0021434138,3.1458343729,0.0869198767,-0.0008060085,-0.5489300985,0.0452220054
1.55283374102699E+018,-0.0012448484,-0.0001183375,0.0493748076,0.012569026,0.0018693693,0.0002953638,1.484,1.586,3.882,2.687,0.549,0.041,-0.0481023267,-0.0007364833,5.90501258557E-05,0.011055591,0.0020610562,0.0003396831,1.4837081853,0.0003869204,0.0538245314,-1.5862089364,-0.0005014197,0.0392052822,-0.0013285314,2.6868570744,0.0794970411,-0.0008060085,-0.5489300985,0.0452220054
1.5528337410468E+018,-0.0012448484,-0.0001183375,0.0493748076,0.012569026,0.0018693693,0.0002953638,1.484,1.586,3.882,2.687,0.542,0.041,-0.0493748076,-0.0012448484,-0.0001183375,0.0125684738,-0.0018693693,0.0002953633,1.4837081853,0.0003869204,0.0538245314,-1.5862089364,-0.0005014197,0.0392052822,-0.0013285314,2.6868570744,0.0794970411,-0.0005400368,-0.5419077957,0.0421107106
1.55283374106673E+018,-0.000280887,2.24909035751E-05,0.049073834,0.0104695458,-0.0072124264,0.000309842,1.484,1.586,3.882,2.687,0.542,0.041,-0.0479342118,-0.0003014869,-0.0001267272,0.0104717805,0.0072124268,0.0003098339,1.4837081853,0.0003869204,0.0538245314,-1.5862089364,-0.0005014197,0.0392052822,-0.0013285314,2.6868570744,0.0794970411,-0.0005400368,-0.5419077957,0.0421107106
1.55283374108668E+018,-0.0012863795,7.2837145126E-05,0.0468626805,0.0108769938,0.0019336552,0.0003057152,1.482,1.586,3.882,2.687,0.542,0.042,-0.0479342118,-0.0003014869,-0.0001267272,0.0104717805,0.0072124268,0.0003098339,1.481659896,0.0003324466,0.0586229351,-1.5862089364,-0.0005014197,0.0392052822,-0.0013285314,2.6868570744,0.0794970411,-0.0005400368,-0.5419077957,0.0421107106
1.55283374110713E+018,-0.0003893779,0.000082986,0.0472327098,0.011128365,-0.0086505017,0.0002936204,1.482,1.716,3.906,3.123,0.542,0.044,-0.0468626805,-0.0012863795,7.2837145126E-05,0.0108764027,-0.0019336553,0.0003057146,1.481659896,0.0003324466,0.0586229351,-1.5862089364,-0.0005014197,0.0392052822,-0.0013285314,2.6868570744,0.0794970411,-0.0005400368,-0.5419077957,0.0421107106
1.55283374112687E+018,-8.70116127771E-05,8.99149381439E-05,0.0472768284,0.0111981867,-0.0073999374,0.0003002213,1.482,1.716,3.906,3.123,0.544,0.044,-0.0472327098,-0.0003893779,0.000082986,0.011130905,0.0086505021,0.0002936094,1.481659896,0.0003324466,0.0586229351,-1.7172830913,-0.0004517691,0.0501808307,-0.0021753888,3.1228879736,0.0808307989,-0.0005400368,-0.5419077957,0.0421107106
