rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,deltaX,deltaY,outlierCount,accX,accY,accZ,gyroX,gyroY,gyroZ,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw
1.5530885075514E+018,0.5008654594,0.4992725551,0.0425215028,0.017349889,-0.0081468537,-0.0026593245,0,0,0,0,0,0.041,0,0,0,-0.0792935707,0.143845991,9.8122301281,-0.0001489334,0.0011234527,0.000064892,0,0,0,0,0,0
1.55308850757137E+018,0.500641346,0.4994775653,0.043778196,0.0144216019,-0.0056912715,-0.0026688575,0,0,0,0,0,0.041,0,0,0,-0.0601972176,0.155263986,9.7999550682,0.0027745559,-0.0001774982,-0.0011180192,0,0,0,0,0,0
1.55308850759154E+018,0.5008612871,0.4995258749,0.0408172458,0.0149670288,-0.0061648465,-0.0026729583,0,0,0,0,0,0.039,0,0,0,-0.0657802259,0.1659934988,9.8118570757,0.0013094251,0.0027329232,-0.0019227201,0,0,0,0,0,0
1.55308850761139E+018,0.5008653402,0.4997551739,0.041133415,0.0165217749,-0.0073592046,-0.0026686583,0,0,0,0,0,0.039,0,0,0,-0.0767135964,0.1599265375,9.7977120763,0.0008631039,-0.000712326,0.0003682464,0,0,0,0,0,0
1.55308850763268E+018,0.5011106133,0.499017179,0.0421695746,0.0180023094,-0.0070840917,-0.0026804867,0,0,0,0,0,0.039,0,0,0,-0.0644050659,0.1510638488,9.7849657309,0.0012401107,-0.0001636733,-0.0004640581,0,0,0,0,0,0
1.55308850765271E+018,0.5006407499,0.4994792342,0.0429511666,0.0169294134,-0.0078152824,-0.00264727,0,0,0,0,0,0.039,0,0,0,-0.0513806854,0.1620345501,9.7891745567,0.0020966083,-0.001148453,0.0002685158,0,0,0,0,0,0
1.5530885076727E+018,0.500633657,0.4994745553,0.0438425355,0.0145548765,-0.004262123,-0.0027236796,0,0,0,0,0,0.039,0,0,0,-0.060883361,0.1555053664,9.8178001857,-0.0001734916,0.0013421493,-0.0021247165,0,0,0,0,0,0
1.55308850769227E+018,0.500633657,0.4994745553,0.0438425355,0.0150673717,-0.006292748,-0.0026744595,0,0,0,0,0,0.042,0,0,0,-0.063378747,0.1628951141,9.7974004197,1.29421680456E-05,0.0005841366,0.0015129163,0,0,0,0,0,0
1.55308850771253E+018,0.5011295676,0.4989921451,0.0427807458,0.0174911281,-0.0073757365,-0.0026431973,0,0,0,0,0,0.042,0,0,0,-0.0690229318,0.1617292341,9.8096158379,0.0006223809,0.0027639896,-0.0003568262,0,0,0,0,0,0
1.55308850773282E+018,0.5011270046,0.499245286,0.0430763662,0.0166529169,-0.0079715694,-0.0026380642,0,0,0,0,0,0.042,0,0,0,-0.0708335176,0.1743101033,9.8115845954,-0.0006261222,0.0001572176,0.0014738533,0,0,0,0,0,0
