rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,deltaX,deltaY,outlierCount,accX,accY,accZ,gyroX,gyroY,gyroZ,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw
1551188162406358097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103937231004,2.57538533211,0.201698973775,-3.1378518821,-3.12749002249,0.0150903316294
1551188162416080084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103942766786,2.57536745071,0.201699107885,-3.13800851227,-3.12741474378,0.0151871467766
1551188162426119546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103946238756,2.5753839016,0.201699241996,-3.13806875217,-3.12763516162,0.0148270830899
1551188162436163484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103948354721,2.57538747787,0.201688185334,-3.13802802391,-3.12704326184,0.0151320331224
1551188162446377765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103946350515,2.57537913322,0.201689735055,-3.13769694719,-3.12791508446,0.0148240964739
1551188162456193757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10394077003,2.5753865242,0.201702862978,-3.13786669746,-3.12745947658,0.0150223862933
1551188162466156007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103940039873,2.57539153099,0.201685845852,-3.13811242944,-3.12712687005,0.01526290284
1551188162476499725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103935576975,2.57537436485,0.201706364751,-3.13809142231,-3.12753224998,0.0149984561382
1551188162486514286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103931047022,2.5753865242,0.201690211892,-3.13771092608,-3.1271097541,0.0150510686709
1551188162496616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103948049247,2.57538628578,0.201688244939,-3.13842379808,-3.1273127126,0.0152789237977
1551188162506569811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103937238455,2.57538986206,0.201686888933,-3.13770082516,-3.12708996486,0.0150424400164
1551188162516668285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103947199881,2.57538819313,0.201696649194,-3.13799167382,-3.12727715621,0.0148211107613
