rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1551188176733188879,,1733,,1551188176,732798267,"""world""",,,1.42262721062,0.259470939636,0.718931794167,,0.0170255638659,-0.0323565714061,-0.99932539463,-0.00347359199077
1551188176743580239,,1734,,1551188176,743202698,"""world""",,,1.4195946455,0.259248077869,0.715206623077,,0.0176649987698,-0.0313685201108,-0.999342679977,-0.00428705336526
1551188176753014674,,1735,,1551188176,752646222,"""world""",,,1.41638565063,0.258767306805,0.711266100407,,0.0156065234914,-0.0338356420398,-0.999294877052,-0.0046241148375
1551188176753046127,,1736,,1551188176,752707553,"""world""",,,1.41310346127,0.258351951838,0.707162380219,,0.0176380332559,-0.0347420275211,-0.999235272408,-0.00331306620501
1551188176763476727,,1737,,1551188176,763118890,"""world""",,,1.41008126736,0.258197844028,0.702914595604,,0.0158297903836,-0.0363318398595,-0.999204874039,-0.00436375243589
1551188176772990485,,1738,,1551188176,772541812,"""world""",,,1.4068980217,0.257871091366,0.698585867882,,0.0175406169146,-0.0369953475893,-0.999151527882,-0.00446167122573
1551188176783363876,,1739,,1551188176,783005800,"""world""",,,1.40368521214,0.257688760757,0.694025099277,,0.0187662374228,-0.0372331775725,-0.99912238121,-0.00399974081665
1551188176792829802,,1740,,1551188176,792453805,"""world""",,,1.40046691895,0.257438570261,0.689338088036,,0.0211495757103,-0.0381477698684,-0.999041259289,-0.0037611417938
1551188176803253179,,1741,,1551188176,802891524,"""world""",,,1.39732837677,0.257327407598,0.684433937073,,0.0222477670759,-0.037721298635,-0.99903267622,-0.00398625805974
1551188176803286613,,1742,,1551188176,802952413,"""world""",,,1.394084692,0.257089287043,0.679343879223,,0.0229194741696,-0.0389134697616,-0.998973429203,-0.00354625028558
1551188176812595546,,1743,,1551188176,812238544,"""world""",,,1.39087688923,0.257055640221,0.67422825098,,0.024049911648,-0.0361841805279,-0.999050319195,-0.00330149941146
1551188176823058387,,1744,,1551188176,822702890,"""world""",,,1.38770663738,0.256972283125,0.668885231018,,0.0231540687382,-0.0356367379427,-0.999089717865,-0.00369375757873
1551188176833566250,,1745,,1551188176,833163485,"""world""",,,1.38441419601,0.256821781397,0.663373827934,,0.0231009926647,-0.0347078405321,-0.999128162861,-0.00216336315498
1551188176843041699,,1746,,1551188176,842687289,"""world""",,,1.38123691082,0.256893724203,0.657789647579,,0.0208184439689,-0.0313565470278,-0.999287724495,-0.00271430588327
1551188176853546190,,1747,,1551188176,853216107,"""world""",,,1.37800717354,0.25688791275,0.652060091496,,0.0189648326486,-0.0313362106681,-0.999325931072,-0.00244468147866
1551188176853582492,,1748,,1551188176,853276513,"""world""",,,1.37461328506,0.256839722395,0.646242022514,,0.0181250739843,-0.0314248241484,-0.999339282513,-0.00222931616008
1551188176863168068,,1749,,1551188176,862760936,"""world""",,,1.37145590782,0.256950676441,0.640320241451,,0.0158210061491,-0.0306127592921,-0.999404072762,-0.00206229090691
1551188176873614804,,1750,,1551188176,873268565,"""world""",,,1.36807894707,0.256943106651,0.634428322315,,0.0154379317537,-0.0308239497244,-0.999403715134,-0.00195015396457
1551188176883171376,,1751,,1551188176,882793829,"""world""",,,1.36483180523,0.257124781609,0.628455996513,,0.0150317391381,-0.0313419774175,-0.999394416809,-0.00160959234927
1551188176892766905,,1752,,1551188176,892304340,"""world""",,,1.3615654707,0.257204592228,0.622464358807,,0.0147915268317,-0.0312916710973,-0.999399363995,-0.00171356427018
1551188176903223809,,1753,,1551188176,902804880,"""world""",,,1.35816156864,0.257379174232,0.616525411606,,0.0167029164732,-0.0318751037121,-0.999352276325,-0.000186766163097
1551188176903253722,,1754,,1551188176,902874129,"""world""",,,1.35492634773,0.257538259029,0.610613405704,,0.0159750655293,-0.0320262573659,-0.999359190464,-0.000677348172758
1551188176912570216,,1755,,1551188176,912194412,"""world""",,,1.35157203674,0.257817775011,0.604784071445,,0.0166230984032,-0.0304032713175,-0.999399363995,-0.000562888511922
1551188176923043296,,1756,,1551188176,922638361,"""world""",,,1.34823858738,0.258027583361,0.598954081535,,0.0166853219271,-0.0295204371214,-0.999424934387,-0.000206353419344
1551188176933531391,,1757,,1551188176,933127180,"""world""",,,1.34485769272,0.258313894272,0.593184351921,,0.018033824861,-0.027567518875,-0.999457001686,0.000712090288289
1551188176943013424,,1758,,1551188176,942616058,"""world""",,,1.34145498276,0.258695036173,0.587486207485,,0.0150893898681,-0.0278584714979,-0.999497711658,0.000760078255553
1551188176953411113,,1759,,1551188176,953006299,"""world""",,,1.33813738823,0.258931308985,0.581904530525,,0.0150495432317,-0.0250927358866,-0.999571084976,0.00126215978526
1551188176953438810,,1760,,1551188176,953068083,"""world""",,,1.33471250534,0.259417772293,0.57631278038,,0.013974041678,-0.0261589661241,-0.999559402466,0.00122828071471
1551188176962835133,,1761,,1551188176,962511793,"""world""",,,1.33121907711,0.259669035673,0.570819497108,,0.0139159420505,-0.0245226491243,-0.999600112438,0.00218658288941
1551188176973418097,,1762,,1551188176,973015583,"""world""",,,1.32794559002,0.260106861591,0.565457999706,,0.0118913641199,-0.0238667670637,-0.999642670155,0.00186973402742
1551188176983003078,,1763,,1551188176,982525394,"""world""",,,1.32443869114,0.260434299707,0.560202121735,,0.0129741663113,-0.0237233992666,-0.999631643295,0.00236785947345
1551188176993449600,,1764,,1551188176,993039541,"""world""",,,1.32103776932,0.260991752148,0.55500638485,,0.0115889497101,-0.0240781437606,-0.999641537666,0.00167653511744
1551188177003012032,,1765,,1551188177,2559667,"""world""",,,1.3176227808,0.261313587427,0.549887120724,,0.0144889522344,-0.0222758091986,-0.999640464783,0.00358292949386
1551188177003042412,,1766,,1551188177,2644396,"""world""",,,1.31427609921,0.26171964407,0.544849097729,,0.0133388340473,-0.0224445648491,-0.999656617641,0.0022532788571
1551188177013390123,,1767,,1551188177,13042549,"""world""",,,1.31071603298,0.262130707502,0.539875149727,,0.0146080516279,-0.0220569055527,-0.999645829201,0.00289556826465
1551188177022846782,,1768,,1551188177,22501052,"""world""",,,1.30735182762,0.262692302465,0.534955918789,,0.0138895669952,-0.0208618268371,-0.999681055546,0.00312663475052
1551188177033402074,,1769,,1551188177,33012930,"""world""",,,1.30377960205,0.263189285994,0.53008377552,,0.0134696783498,-0.0209715794772,-0.999686479568,0.0024108949583
1551188177042869648,,1770,,1551188177,42480690,"""world""",,,1.30043828487,0.263640582561,0.525317132473,,0.0140993930399,-0.0185747891665,-0.999724805355,0.00256653991528
1551188177053331660,,1771,,1551188177,52952030,"""world""",,,1.29702472687,0.264081776142,0.52056401968,,0.0137283504009,-0.0176098328084,-0.99974668026,0.00285665201955
1551188177053362365,,1772,,1551188177,53015277,"""world""",,,1.29347717762,0.264658868313,0.515794575214,,0.0137371839955,-0.0169918294996,-0.999756038189,0.00323658552952
